Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/82/17,"52.412133, -0.865671"
HL/PO/JO/10/1/82/18,"54.242852, -0.44405"
HL/PO/JO/10/1/82/19,"54.574038, -3.410573"
HL/PO/JO/10/1/82/20,"38.704282, -77.2277603"
HL/PO/JO/10/1/82/21,"54.5809367, -3.3541252"
HL/PO/JO/10/1/82/22,"54.212073, -3.272847"
HL/PO/JO/10/1/82/23,"54.5633954, -3.5644707"
HL/PO/JO/10/1/82/24,"54.358153, -3.38153"
HL/PO/JO/10/1/82/25,"-36.8473223, 174.7442273"
HL/PO/JO/10/1/82/27,"54.4820127, -3.5320567"
HL/PO/JO/10/1/81/29,"50.750417, -4.39625"
HL/PO/JO/10/1/81/30,"50.840987, -4.527221"
HL/PO/JO/10/1/81/31,"51.9082872, -1.1386778"
HL/PO/JO/10/1/81/32,"50.8306929, -4.514386"
HL/PO/JO/10/1/81/33,"50.747662, -4.496106"
HL/PO/JO/10/1/81/34,"50.759108, -4.46022"
HL/PO/JO/10/1/81/35,"50.527892, -4.682539"
HL/PO/JO/10/1/81/36,"50.46863, -4.715114"
HL/PO/JO/10/1/81/37,"37.2624652, -77.4327305"
HL/PO/JO/10/1/81/38,"50.5084147, -4.7903139"
HL/PO/JO/10/1/81/39,"50.5066599, -4.713904"
HL/PO/JO/10/1/81/41,"50.571791, -4.828743"
HL/PO/JO/10/1/81/42,"50.560939, -4.790939"
HL/PO/JO/10/1/81/43,"50.525707, -4.759388"
HL/PO/JO/10/1/81/44,"50.5950599, -4.740223"
HL/PO/JO/10/1/81/45,"50.557249, -4.729507"
HL/PO/JO/10/1/81/47,"50.416047, -4.6067729"
HL/PO/JO/10/1/81/48,"51.311044, 1.108303"
HL/PO/JO/10/1/81/49,"50.489797, -4.644602"
HL/PO/JO/10/1/81/50,"50.402063, -4.485152"
HL/PO/JO/10/1/81/51,"50.354047, -4.454369"
HL/PO/JO/10/1/81/52,"50.385899, -4.561301"
HL/PO/JO/10/1/81/53,"50.335894, -4.569203"
HL/PO/JO/10/1/81/54,"50.33499, -4.636525"
HL/PO/JO/10/1/81/55,"50.45552, -4.464719"
HL/PO/JO/10/1/81/56,"50.384396, -4.44827"
HL/PO/JO/10/1/81/57,"50.36553, -4.525603"
HL/PO/JO/10/1/81/58,"50.487255, -4.473743"
HL/PO/JO/10/1/81/59,"50.425242, -4.475019"
HL/PO/JO/10/1/81/60,"50.443799, -4.535481"
HL/PO/JO/10/1/81/61,"50.364502, -4.616671"
HL/PO/JO/10/1/81/62,"50.385566, -4.652829"
HL/PO/JO/10/1/81/63,"50.338892, -4.488479"
HL/PO/JO/10/1/81/64,"50.493561, -4.595518"
HL/PO/JO/10/1/82/1,"54.711375, -3.4877389"
HL/PO/JO/10/1/82/3,"53.443255, -2.998895"
HL/PO/JO/10/1/82/4,"54.659016, -3.417476"
HL/PO/JO/10/1/82/6,"54.508427, -3.520551"
HL/PO/JO/10/1/82/7,"54.663261, -3.367985"
HL/PO/JO/10/1/82/8,"54.309546, -3.364583"
HL/PO/JO/10/1/82/9,"29.314348, 115.756883"
HL/PO/JO/10/1/82/10,"54.599148, -3.536008"
HL/PO/JO/10/1/82/11,"54.480973, -3.528926"
HL/PO/JO/10/1/82/12,"55.495952, -1.635481"
HL/PO/JO/10/1/82/13,"-26.409722, 27.836944"
HL/PO/JO/10/1/82/14,"54.3896469, -3.324212"
HL/PO/JO/10/1/82/15,"55.0072676, -1.6197315"
HL/PO/JO/10/1/82/16,"54.465013, -3.493017"
HL/PO/JO/10/1/82/17,"52.412133, -0.865671"
HL/PO/JO/10/1/82/18,"54.242852, -0.44405"
HL/PO/JO/10/1/82/19,"54.574038, -3.410573"
HL/PO/JO/10/1/82/20,"38.704282, -77.2277603"
HL/PO/JO/10/1/82/21,"54.5809367, -3.3541252"
HL/PO/JO/10/1/82/22,"54.212073, -3.272847"
HL/PO/JO/10/1/82/23,"54.5633954, -3.5644707"
HL/PO/JO/10/1/82/24,"54.358153, -3.38153"
HL/PO/JO/10/1/82/25,"-36.8473223, 174.7442273"
eath Ward - Ainstable.,"54.8087067, -2.7303124"
HL/PO/JO/10/1/82/91,"54.7379421, -2.9670157"
HL/PO/JO/10/1/82/92,"54.817704, -2.665338"
HL/PO/JO/10/1/82/93,"54.630444, -2.839557"
