Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/78/73,Protestation Return - Cambridge - Trinity Hall.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/74,Protestation Return - Cambridge - Persons having the privilege of Scholars.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/75,Protestation Return - Cambridge - Public officers.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/76,Protestation Return - Chester - Chester (City) - †Chester.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/77,Protestation Return - Chester - Chester (City) - Holy Trinity.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/78,Protestation Return - Chester - Chester (City) - St Bridget.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/79,Protestation Return - Chester - Chester (City) - St Martin.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/80,Protestation Return - Chester - Chester (City) - St Mary on the Hill.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/81,Protestation Return - Chester - Chester (City) - St Michael.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/82,Protestation Return - Chester - Chester (City) - St Olave.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/83,Protestation Return - Chester - Chester (City) - St Oswald.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/84,Protestation Return - Chester - Chester (City) - St Peter.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/1,Protestation Return - Cornwall - East Hundred - Botus Fleming.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/2,Protestation Return - Cornwall - East Hundred - Calstock.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/3,Protestation Return - Cornwall - East Hundred - Camelford [actually in Lesnewth Hundred].,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/4,Protestation Return - Cornwall - East Hundred - East (hundred).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/5,Protestation Return - Cornwall - East Hundred - Egloskerry.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/6,Protestation Return - Cornwall - East Hundred - Landrake.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/7,Protestation Return - Cornwall - East Hundred - Landulph.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/8,Protestation Return - Cornwall - East Hundred - Landeast.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/9,Protestation Return - Cornwall - East Hundred - Launceston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/10,Protestation Return - Cornwall - East Hundred - Lawhitton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/11,Protestation Return - Cornwall - East Hundred - Lewanick.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/12,Protestation Return - Cornwall - East Hundred - Lezant.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/13,Protestation Return - Cornwall - East Hundred - Linkinhorn.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/14,Protestation Return - Cornwall - East Hundred - Maker.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/15,Protestation Return - Cornwall - East Hundred - Menheniot.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/16,Protestation Return - Cornwall - East Hundred - Northill.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/17,Protestation Return - Cornwall - East Hundred - Pillaton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/18,Protestation Return - Cornwall - East Hundred - Quethiock.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/19,Protestation Return - Cornwall - East Hundred - Rame.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/20,Protestation Return - Cornwall - East Hundred - [St] Anthony [Jacob].,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/21,Protestation Return - Cornwall - East Hundred - St Dominick.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/22,Protestation Return - Cornwall - East Hundred - St Germains (borough).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/23,Protestation Return - Cornwall - East Hundred - St Ive.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/24,Protestation Return - Cornwall - East Hundred - St John's.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/25,Protestation Return - Cornwall - East Hundred - St Mellion.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/26,Protestation Return - Cornwall - East Hundred - St Stephen's by Launceston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/27,Protestation Return - Cornwall - East Hundred - St Stephen's by Saltash.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/28,Protestation Return - Cornwall - East Hundred - St Thomas.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/79/29,Protestation Return - Cornwall - East Hundred - Sheviock.,1642,Protestation Returns,,,,,
