HL/PO/JO/10/1/81/55,"50.45382, -4.46607"
HL/PO/JO/10/1/81/56,
HL/PO/JO/10/1/81/57,"50.36792, -4.52759"
HL/PO/JO/10/1/81/58,"50.48645, -4.47168"
HL/PO/JO/10/1/81/59,"50.42297, -4.47741"
HL/PO/JO/10/1/81/60,"50.44139, -4.53604"
HL/PO/JO/10/1/81/61,"50.36556, -4.61741"
HL/PO/JO/10/1/81/62,"50.38353, -4.65177"
HL/PO/JO/10/1/81/63,"50.33326, -4.5154"
HL/PO/JO/10/1/81/64,"50.491901, -4.59946"
HL/PO/JO/10/1/82/1,
HL/PO/JO/10/1/82/2,"52.30098, -2.44482"
HL/PO/JO/10/1/82/3,"53.45583, -2.98639"
HL/PO/JO/10/1/82/4,
HL/PO/JO/10/1/82/5,"56.133413, -3.206555"
HL/PO/JO/10/1/82/6,"54.50784, -3.52089"
HL/PO/JO/10/1/82/7,"54.6637, -3.36493"
HL/PO/JO/10/1/82/8,"54.3098, -3.36495"
HL/PO/JO/10/1/82/9,"55.95232, -3.21659"
HL/PO/JO/10/1/82/10,"54.59766, -3.53876"
HL/PO/JO/10/1/82/11,"54.48292, -3.52831"
HL/PO/JO/10/1/82/12,"55.49718, -1.63605"
HL/PO/JO/10/1/82/13,
HL/PO/JO/10/1/82/14,
HL/PO/JO/10/1/82/15,
HL/PO/JO/10/1/82/16,"54.46309, -3.49215"
HL/PO/JO/10/1/82/17,
HL/PO/JO/10/1/82/18,"54.24868, -0.45905"
HL/PO/JO/10/1/82/19,"54.57538, -3.41094"
HL/PO/JO/10/1/82/20,
HL/PO/JO/10/1/82/21,"54.57649, -3.32936"
HL/PO/JO/10/1/82/22,"54.21144, -3.27508"
HL/PO/JO/10/1/82/23,
HL/PO/JO/10/1/82/24,"54.358662, -3.3816"
HL/PO/JO/10/1/82/25,"54.43418, -3.46727"
HL/PO/JO/10/1/82/26,"54.490036, -3.590325"
eath Ward - Ainstable.,
HL/PO/JO/10/1/82/91,"53.670151, -1.95433"
HL/PO/JO/10/1/82/92,"54.81725, -2.66451"
HL/PO/JO/10/1/82/93,"54.63094, -2.83932"
HL/PO/JO/10/1/82/94,
HL/PO/JO/10/1/82/95,
HL/PO/JO/10/1/82/96,"54.716129, -2.84012"
HL/PO/JO/10/1/82/97,
HL/PO/JO/10/1/82/98,
HL/PO/JO/10/1/82/99,"54.69811, -2.66762"
HL/PO/JO/10/1/82/100,"54.74911, -2.70579"
HL/PO/JO/10/1/82/101,"54.1862, -1.48713"
HL/PO/JO/10/1/82/102,"52.124779, 0.09922"
HL/PO/JO/10/1/82/103,"54.70849, -2.59269"
HL/PO/JO/10/1/82/104,"54.66447, -2.75723"
HL/PO/JO/10/1/82/105,
HL/PO/JO/10/1/82/106,"54.72347, -2.69838"
